GAME,WINNER,TIME,random,random
581,0,0.1488499641418457,38,18
582,1,0.1408630609512329,20,39
583,0,0.169050931930542,38,22
584,0,0.13330698013305664,38,26
585,0,0.1563570499420166,35,21
586,0,0.16119003295898438,36,34
587,1,0.15014004707336426,23,37
588,1,0.14117300510406494,23,36
589,0,0.1302880048751831,37,23
590,0,0.1461319923400879,40,23
591,0,0.1646479368209839,39,24
592,0,0.15567493438720703,38,22
593,1,0.19165098667144775,26,41
594,1,0.15622198581695557,24,36
595,1,0.14359009265899658,23,35
596,0,0.141448974609375,35,17
597,1,0.184952974319458,21,39
598,0,0.1763819456100464,37,27
599,0,0.14412295818328857,35,23
600,0,0.16303002834320068,38,22
601,0,0.15971601009368896,38,18
602,0,0.18481290340423584,38,26
603,1,0.1553349494934082,24,36
604,0,0.15599095821380615,37,26
605,0,0.13953495025634766,34,22
606,0,0.1605290174484253,36,24
607,1,0.15258800983428955,21,35
608,0,0.1605219841003418,36,16
609,0,0.1471710205078125,40,22
610,0,0.12240409851074219,34,22
611,0,0.1466538906097412,36,26
612,1,0.1633739471435547,24,36
613,1,0.13278710842132568,19,37
614,0,0.17673301696777344,35,17
615,1,0.18104195594787598,23,37
616,1,0.1633930206298828,24,36
617,0,0.19356608390808105,38,25
618,0,0.15380001068115234,37,23
619,1,0.19010508060455322,23,40
620,0,0.16118395328521729,37,23
621,0,0.159324049949646,34,22
622,1,0.1669830083847046,22,38
623,0,0.1672910451889038,38,22
624,1,0.13919401168823242,19,37
625,1,0.1318589448928833,35,39
626,0,0.16854894161224365,38,22
627,0,0.1678299903869629,38,26
628,0,0.1770780086517334,38,25
629,0,0.15786802768707275,38,22
630,0,0.1478879451751709,35,13
631,1,0.17493796348571777,27,36
632,1,0.15306103229522705,24,36
633,1,0.18313097953796387,22,38
634,0,0.1639500856399536,35,35
635,0,0.16008305549621582,38,22
636,1,0.1502629518508911,24,39
637,1,0.14955604076385498,20,36
638,0,0.15706098079681396,36,20
639,0,0.18488800525665283,36,24
640,1,0.17666006088256836,18,38
641,1,0.1787569522857666,26,38
642,1,0.15438508987426758,24,36
643,1,0.1457369327545166,24,37
644,1,0.14814293384552002,21,35
645,1,0.18263590335845947,38,39
646,0,0.15511608123779297,35,35
647,1,0.16003799438476562,22,38
648,1,0.14387202262878418,17,35
649,1,0.15635693073272705,21,35
650,0,0.15811598300933838,37,19
651,0,0.15796709060668945,37,23
652,0,0.16688096523284912,36,24
653,0,0.15105199813842773,35,21
654,0,0.14768600463867188,38,21
655,1,0.16464710235595703,24,36
656,1,0.13443303108215332,20,36
657,1,0.18183588981628418,24,39
658,0,0.1404860019683838,35,17
659,1,0.1593940258026123,26,38
660,0,0.14207994937896729,35,21
661,1,0.1778010129928589,24,36
662,0,0.16310203075408936,38,22
663,1,0.14607000350952148,21,35
664,1,0.17020106315612793,21,35
665,0,0.12770700454711914,35,19
666,0,0.15626299381256104,35,17
667,0,0.1598299741744995,35,25
668,1,0.1562720537185669,24,36
669,1,0.14241695404052734,21,35
670,0,0.1902979612350464,39,38
671,0,0.1799710988998413,35,21
672,0,0.1646280288696289,36,20
673,1,0.13649094104766846,26,35
674,0,0.1355360746383667,38,26
675,1,0.20744705200195312,23,40
676,0,0.15387701988220215,40,23
677,1,0.16101300716400146,26,38
678,0,0.15601694583892822,38,22
679,0,0.10986101627349854,37,15
680,0,0.10775399208068848,38,19
681,1,0.14998698234558105,26,38
682,0,0.16961300373077393,36,24
683,0,0.16020405292510986,35,21
684,0,0.15397799015045166,35,23
685,1,0.16470491886138916,16,36
686,0,0.21539998054504395,36,24
687,1,0.15251600742340088,17,35
688,1,0.14549291133880615,20,36
689,0,0.149757981300354,36,24
690,0,0.17477893829345703,37,23
691,0,0.17331993579864502,35,35
692,0,0.18292605876922607,36,24
693,1,0.1940230131149292,23,37
694,0,0.16951489448547363,35,21
695,0,0.16226398944854736,35,21
696,1,0.15674805641174316,21,35
697,1,0.17654407024383545,24,36
698,0,0.17971301078796387,38,26
699,1,0.16118204593658447,22,36
700,1,0.144273042678833,21,35
701,1,0.17840898036956787,20,36
702,0,0.21563899517059326,38,26
703,1,0.1293480396270752,21,35
704,0,0.1735849380493164,36,24
705,0,0.1669560670852661,36,24
706,1,0.196679949760437,20,38
707,1,0.1952800750732422,21,37
