GAME,WINNER,TIME,random,random,random
530,0,0.23134899139404297,39,19,25
531,0,0.24987006187438965,42,20,19
532,2,0.22763800621032715,19,28,38
533,2,0.21221303939819336,21,18,39
534,2,0.24408698081970215,21,27,40
535,0,0.29034292697906494,39,26,22
536,0,0.23185300827026367,41,24,21
537,2,0.2701610326766968,25,22,39
538,1,0.251101016998291,39,42,26
539,1,0.3082319498062134,35,39,23
540,2,0.3151710033416748,39,27,40
541,1,0.24806702136993408,21,38,22
542,2,0.26386404037475586,26,27,41
543,2,0.25048696994781494,18,22,39
544,2,0.25089097023010254,25,24,41
545,0,0.265205979347229,39,18,22
546,2,0.2292569875717163,23,26,43
547,2,0.25408804416656494,18,30,37
548,2,0.25456202030181885,22,24,42
549,0,0.23504400253295898,36,23,20
550,2,0.2610729932785034,26,21,36
551,1,0.23409593105316162,20,36,22
552,1,0.2519700527191162,20,42,25
553,2,0.21604704856872559,25,24,39
554,1,0.2668830156326294,25,41,30
555,1,0.24511802196502686,24,42,22
556,1,0.2513829469680786,27,39,24
557,2,0.30549895763397217,22,24,40
558,1,0.23141098022460938,22,38,25
559,2,0.2686150074005127,24,28,37
560,1,0.2590320110321045,20,40,29
561,1,0.30874693393707275,33,43,33
562,2,0.3396190404891968,25,29,37
563,1,0.31115198135375977,26,40,28
564,1,0.28936707973480225,30,41,22
565,0,0.2304919958114624,36,20,27
566,0,0.2639129161834717,40,22,25
567,1,0.28392601013183594,26,41,26
568,1,0.28238892555236816,22,36,22
569,2,0.23826396465301514,19,24,39
570,2,0.24916601181030273,18,27,41
571,2,0.31541597843170166,22,25,38
572,2,0.3005300760269165,30,24,40
573,0,0.2863810062408447,41,23,22
574,2,0.23031997680664062,23,25,36
575,1,0.22505593299865723,19,37,20
576,1,0.2588890790939331,27,36,24
577,1,0.26668107509613037,25,40,23
578,1,0.31463396549224854,26,42,32
579,1,0.2706429958343506,22,41,27
580,2,0.28116297721862793,23,25,41
581,0,0.2899569272994995,36,25,29
582,2,0.26214396953582764,21,25,37
583,2,0.2742229700088501,22,26,39
584,0,0.2260349988937378,40,22,24
585,0,0.25964999198913574,34,28,24
586,2,0.25815296173095703,21,26,39
587,1,0.2938350439071655,27,38,25
588,1,0.28680896759033203,24,42,24
589,2,0.25896692276000977,18,22,40
590,0,0.24397802352905273,39,25,36
591,2,0.2452770471572876,25,21,38
592,0,0.253432035446167,41,22,23
593,0,0.3158450126647949,41,28,32
594,1,0.27206599712371826,25,40,26
595,0,0.2593039274215698,43,26,27
596,0,0.23110997676849365,38,22,23
597,0,0.27414393424987793,38,27,21
598,0,0.28751301765441895,42,30,29
599,1,0.2258749008178711,24,41,20
600,0,0.23277699947357178,39,18,28
601,1,0.274616003036499,25,39,22
602,1,0.22780096530914307,28,40,28
603,0,0.23118197917938232,37,18,23
604,2,0.22582697868347168,26,23,40
605,0,0.259429931640625,37,23,25
606,0,0.23270702362060547,42,41,41
607,1,0.25388801097869873,24,36,19
608,0,0.195512056350708,39,20,22
609,0,0.24869191646575928,41,21,21
610,1,0.27925992012023926,27,39,21
611,1,0.21022093296051025,21,39,20
612,2,0.30850696563720703,25,23,39
