GAME,WINNER,TIME,big,big,big,big
555,2,0.1543658971786499,28,35,59,36
556,2,0.19863009452819824,42,35,53,35
557,3,0.7249490022659302,43,35,35,59
558,0,0.2708730697631836,59,36,52,28
559,2,0.35335493087768555,42,35,53,35
560,2,0.17910802364349365,36,35,52,42
561,3,0.23687398433685303,43,35,28,59
562,1,0.12302696704864502,36,59,28,28
563,1,0.16187500953674316,42,53,28,28
564,1,0.1792069673538208,43,52,28,42
565,2,0.3708229064941406,42,28,53,28
566,0,0.15136098861694336,59,43,35,28
567,0,0.1948789358139038,59,29,35,28
568,0,0.14754605293273926,53,35,21,42
569,0,0.1583009958267212,59,43,28,35
570,1,0.31388604640960693,32,59,52,43
571,2,0.3154449462890625,35,42,52,43
572,1,0.15676701068878174,42,53,28,28
573,3,0.14555609226226807,35,28,35,53
574,2,0.16118204593658447,35,35,59,36
575,2,0.23665392398834229,21,35,59,36
576,1,0.18299806118011475,35,59,36,35
577,2,0.2218400239944458,29,28,52,35
578,1,0.17845797538757324,40,52,52,42
579,0,0.20500898361206055,59,28,43,35
580,2,0.17531991004943848,52,28,59,36
581,2,0.10201501846313477,21,42,53,21
582,0,0.30516600608825684,59,43,35,28
583,2,0.21567094326019287,35,42,53,35
584,2,0.2843029499053955,35,42,53,35
585,1,0.15362203121185303,28,59,36,52
586,3,0.24725604057312012,36,28,35,59
587,0,0.12741303443908691,53,21,21,35
588,0,0.172110915184021,59,35,43,28
589,2,0.1853189468383789,28,42,53,28
590,3,0.20655107498168945,42,36,35,52
591,1,0.16270804405212402,28,59,36,28
592,3,0.16851294040679932,43,35,28,59
593,0,0.17782092094421387,59,36,28,28
594,3,0.3018230199813843,36,35,35,59
595,3,0.14862406253814697,35,28,35,53
596,0,0.16864001750946045,59,43,28,35
597,1,0.20268011093139648,28,59,43,52
598,0,0.31335699558258057,52,46,40,52
599,0,0.161965012550354,59,36,35,35
600,1,0.163627028465271,43,52,28,42
601,0,0.29086196422576904,53,35,35,42
602,1,0.35804200172424316,28,59,43,35
603,2,0.42113006114959717,42,46,57,39
604,2,0.23322296142578125,21,28,59,29
605,0,0.468999981880188,59,43,35,35
606,1,0.1482480764389038,42,53,28,28
607,0,0.39806807041168213,52,52,42,40
608,1,0.14088904857635498,35,59,43,28
609,0,0.13127398490905762,53,28,35,42
610,2,0.14326798915863037,28,42,53,28
611,1,0.1611039638519287,52,59,40,35
612,3,0.2088160514831543,35,35,42,53
613,3,0.24654793739318848,35,28,50,52
614,0,0.23665189743041992,59,43,52,21
615,0,0.1951969861984253,53,28,35,35
616,3,0.15468597412109375,43,52,28,59
617,3,0.1467810869216919,28,36,28,59
618,3,0.14680004119873047,28,36,28,59
619,3,0.26339101791381836,43,32,52,59
620,1,0.1382819414138794,35,59,43,35
621,2,0.1348400115966797,28,28,59,36
622,3,0.11976003646850586,28,35,42,53
623,0,0.24465298652648926,59,43,32,52
624,2,0.19101500511169434,35,28,59,36
625,2,0.1457819938659668,21,42,53,35
626,2,0.13532602787017822,36,28,59,28
627,3,0.1254589557647705,35,28,35,53
628,3,0.14104604721069336,43,28,21,59
629,3,0.6006540060043335,43,52,32,59
630,0,0.2961719036102295,59,29,35,28
631,2,0.13319909572601318,28,21,59,29
632,1,0.13359999656677246,35,59,36,35
633,0,0.1659330129623413,53,21,35,42
634,0,0.16657006740570068,59,29,28,35
635,1,0.17121505737304688,28,53,42,28
636,0,0.17339301109313965,59,43,35,28
637,1,0.1903989315032959,35,59,43,28
638,2,0.1904280185699463,32,49,57,42
639,2,0.21950197219848633,52,28,59,36
640,2,0.16858303546905518,28,42,52,43
641,1,0.31422102451324463,46,57,39,42
642,0,0.16249895095825195,59,29,35,52
643,1,0.28237199783325195,35,59,36,35
644,2,0.13266205787658691,35,35,59,36
645,3,0.31092000007629395,36,28,35,59
646,2,0.15091300010681152,35,42,53,35
647,1,0.2556140422821045,36,52,42,21
648,3,0.44141507148742676,28,28,42,53
649,0,0.1886889934539795,59,43,35,28
650,0,0.2313300371170044,59,40,35,52
651,1,0.15453898906707764,28,59,35,43
652,3,0.17729699611663818,43,28,35,59
653,1,0.3108459711074829,35,59,36,35
654,0,0.10887598991394043,53,28,21,42
655,0,0.12436604499816895,59,36,21,35
656,1,0.21673798561096191,36,52,35,42
657,3,0.13499200344085693,29,21,21,59
658,1,0.18279099464416504,39,59,43,35
659,0,0.20932698249816895,59,36,28,52
660,0,0.1862579584121704,52,36,42,35
661,2,0.39848291873931885,28,42,53,28
