# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random
605,1,0.37733399868011475,30,46,27,30
606,0,0.2985759973526001,39,23,14,18
607,3,0.3523859977722168,25,25,29,40
608,0,0.3370950222015381,42,22,23,30
609,2,0.35011398792266846,26,25,46,19
610,2,0.32172608375549316,22,20,42,20
611,0,0.3305199146270752,42,21,22,25
612,2,0.372128963470459,31,20,46,29
613,1,0.48635101318359375,25,42,27,22
614,3,0.3861140012741089,26,27,25,39
615,3,0.4180889129638672,44,28,24,47
616,3,0.28266894817352295,22,17,16,39
617,1,0.31429100036621094,21,40,22,26
618,0,0.32785701751708984,39,23,24,19
619,0,0.39605391025543213,41,20,27,25
620,3,0.37274396419525146,29,31,24,46
621,0,0.2961169481277466,41,21,14,18
622,0,0.4069780111312866,42,30,29,29
623,1,0.336169958114624,26,41,24,25
624,0,0.35358500480651855,40,28,28,23
625,1,0.35027992725372314,26,42,25,19
626,2,0.3573039770126343,29,27,42,25
627,1,0.2837059497833252,26,45,21,19
628,2,0.39201295375823975,23,26,42,29
629,0,0.40126800537109375,43,30,29,32
630,1,0.3348269462585449,29,40,25,22
631,3,0.2692720890045166,19,20,25,38
632,3,0.31336796283721924,21,25,15,37
633,3,0.3288339376449585,25,22,25,38
